start_date,end_date,iso3_country,province_name,source_location,source_name,CO2_emissions_tonnes,CH4_emissions_tonnes,N2O_emissions_tonnes,total_CO2e_100yrGWP,total_CO2e_20yrGWP
2015-01-01,2015-12-31,ZAF,Western Cape,,,263723.762120832,3221.0535831552,30.9716690688,362046.4227466445,533728.5787288167
2015-01-01,2015-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2015-01-01,2015-12-31,MEX,Jalisco,,,2922.17960736,35.690743296,0.343180224,4011.6395464704,5913.9561641472
2015-01-01,2015-12-31,BRA,Pernambuco,,,1792.8877187519995,21.897865267199997,0.21055639679999996,2461.3200560332793,3628.4762747750397
2016-01-01,2016-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-12-31,BRA,Pernambuco,,,5227.922479104001,63.8524882944,0.6139662336,7177.019684290561,10580.35731038208
2016-01-01,2016-12-31,MEX,Jalisco,,,403.378683552,4.9267625472,0.0473727168,553.7681103052801,816.36455407104
2016-01-01,2016-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-12-31,ZAF,Western Cape,,,256016.618672256,3126.9205334015996,30.0665435904,351465.86795433983,518130.7323846451
2017-01-01,2017-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-12-31,BRA,Pernambuco,,,253.480133088,3.0959405568,0.0297686592,347.98371858432,512.99735026176
2017-01-01,2017-12-31,MEX,Jalisco,,,5449.401798048,66.55757921280001,0.6399767232,7481.07190351872,11028.59087556096
2017-01-01,2017-12-31,ZAF,Western Cape,,,288169.015620096,3519.6215648255998,33.842515046399996,395605.4638863974,583201.2932916019
2018-01-01,2018-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-12-31,ZAF,Western Cape,,,468672.134179392,5724.2398067712,55.040767372800005,643404.5542810829,948506.5359819878
2018-01-01,2018-12-31,MEX,Jalisco,,,2619.01399968,31.987957248,0.307576512,3595.4463946752,5300.4045159935995
2018-01-01,2018-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-12-31,BRA,Pernambuco,,,568.4355144,6.94272384,0.06675696,780.3621596159999,1150.409340288
2019-01-01,2019-12-31,MEX,Jalisco,,,11169.968389632,136.4270948352,1.3117989888,15334.40545947648,22605.96961419264
2019-01-01,2019-12-31,BRA,Pernambuco,,,478.32795878400003,5.8421735424,0.056174745600000006,656.66030616576,968.0481559756801
2019-01-01,2019-12-31,ZAF,Western Cape,,,150898.154842656,1843.0308988416,17.721450950399998,207156.6730297958,305390.2199380531
2019-01-01,2019-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-12-31,ZAF,Western Cape,,,97220.15762284801,1187.4217724928,11.417517043200002,133466.20722819073,196755.787702057
2020-01-01,2020-12-31,BRA,Pernambuco,,,268.638413472,3.2810798592,0.0315488448,368.79337617408004,543.6749326694401
2020-01-01,2020-12-31,MEX,Jalisco,,,9082.33633008,110.92929868799999,1.066627872,12468.453172531199,18380.9847926016
2021-01-01,2021-12-31,MEX,Queretaro,,,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021-12-31,ITA,Abruzzo,,,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021-12-31,ZAF,Western Cape,,,60742.59800544,741.894326784,7.133599296,83388.9223305216,122931.8899481088
2021-01-01,2021-12-31,BRA,Pernambuco,,,258.532893216,3.1576536576,0.0303620544,354.92027111424,523.22321106432
2021-01-01,2021-12-31,MEX,Jalisco,,,3251.451142368,39.7123803648,0.3818498112,4463.67155300352,6580.3414264473595
2021-01-01,2021-12-31,ESP,Basque,,,0.0,0.0,0.0,0.0,0.0
